block,type,material,processing,categories,biome,r,g,b,a,hue
gray_glazed_terracotta,colored,stone,processed,terracotta,,83.0,91.0,94.0,255.0,196
black_glazed_terracotta,colored,stone,processed,terracotta,,69.0,30.0,32.0,255.0,357
red_glazed_terracotta,colored,stone,processed,terracotta,,182.0,59.0,52.0,255.0,3
orange_glazed_terracotta,colored,stone,processed,terracotta,,163.0,146.0,87.0,255.0,47
yellow_glazed_terracotta,colored,stone,processed,terracotta,,236.0,195.0,92.0,255.0,43
lime_glazed_terracotta,colored,stone,processed,terracotta,,163.0,197.0,54.0,255.0,74
green_glazed_terracotta,colored,stone,processed,terracotta,,113.0,139.0,62.0,255.0,80
cyan_glazed_terracotta,colored,stone,processed,terracotta,,51.0,116.0,122.0,255.0,185
light_blue_glazed_terracotta,colored,stone,processed,terracotta,,97.0,166.0,209.0,255.0,203
blue_glazed_terracotta,colored,stone,processed,terracotta,,49.0,68.0,145.0,255.0,228
purple_glazed_terracotta,colored,stone,processed,terracotta,,109.0,49.0,151.0,255.0,275
magenta_glazed_terracotta,colored,stone,processed,terracotta,,207.0,99.0,190.0,255.0,309
pink_glazed_terracotta,colored,stone,processed,terracotta,,237.0,156.0,183.0,255.0,340
glass,natural,glass,processed,glass,,176.0,213.0,218.0,49.0,187
tinted_glass,natural,glass,processed,glass,,42.0,38.0,44.0,125.0,280
white_stained_glass,colored,glass,processed,glass,,255.0,255.0,255.0,114.0,0
light_gray_stained_glass,colored,glass,processed,glass,,152.0,152.0,152.0,114.0,0
gray_stained_glass,colored,glass,processed,glass,,76.0,76.0,76.0,114.0,0
black_stained_glass,colored,glass,processed,glass,,24.0,24.0,24.0,114.0,0
red_stained_glass,colored,glass,processed,glass,,152.0,49.0,49.0,114.0,0
orange_stained_glass,colored,glass,processed,glass,,214.0,127.0,49.0,114.0,28
yellow_stained_glass,colored,glass,processed,glass,,228.0,228.0,49.0,114.0,60
lime_stained_glass,colored,glass,processed,glass,,127.0,203.0,24.0,114.0,85
green_stained_glass,colored,glass,processed,glass,,100.0,127.0,49.0,114.0,81
cyan_stained_glass,colored,glass,processed,glass,,76.0,127.0,152.0,114.0,200
light_blue_stained_glass,colored,glass,processed,glass,,100.0,152.0,214.0,114.0,213
blue_stained_glass,colored,glass,processed,glass,,49.0,76.0,176.0,114.0,227
purple_stained_glass,colored,glass,processed,glass,,127.0,62.0,176.0,114.0,274
magenta_stained_glass,colored,glass,processed,glass,,176.0,76.0,214.0,114.0,283
pink_stained_glass,colored,glass,processed,glass,,241.0,127.0,165.0,114.0,340
glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
white_stained_glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
light_gray_stained_glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
gray_stained_glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
black_stained_glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
red_stained_glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
orange_stained_glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
yellow_stained_glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
lime_stained_glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
green_stained_glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
cyan_stained_glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
light_blue_stained_glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
blue_stained_glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
purple_stained_glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
magenta_stained_glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
pink_stained_glass_pane,pane,glass,processed,glass,,0.0,0.0,0.0,0.0,
stripped_oak_log,log,wood,natural,oak,,170.5,138.5,82.5,255.0,38
stripped_spruce_log,log,wood,natural,spruce,,112.5,86.0,50.5,255.0,34
stripped_birch_log,log,wood,natural,birch,,195.0,175.0,119.0,255.0,44
stripped_jungle_log,log,wood,natural,jungle,,169.0,127.5,83.5,255.0,31
stripped_acacia_log,log,wood,natural,acacia,,171.5,92.0,55.5,255.0,19
stripped_dark_oak_log,log,wood,natural,dark_oak,,70.0,50.5,29.0,255.0,31
stripped_mangrove_log,log,wood,natural,mangrove,,114.5,49.0,45.5,255.0,3
stripped_cherry_log,log,wood,natural,cherry,,219.5,156.5,155.0,255.0,1
stripped_bamboo_block,log,wood,natural,bamboo,,186.0,166.0,77.0,255.0,49
stripped_crimson_stem,log,wood,natural,crimson,,129.0,57.0,86.5,255.0,335
stripped_warped_stem,log,wood,natural,warped,,55.0,139.5,135.5,255.0,177
glowstone,light,stone,natural,stone,,173.0,132.0,85.0,255.0,32
waxed_copper_bulb,light,metal,processed,copper,,153.0,85.0,55.0,255.0,18
